[00:00] 大家好，欢迎来到零到全栈系列课程，今天咱们讲现代前端的第二讲，前端构建。
[55:22] anime.js这个名字
[55:23] 这个名字这一步
[55:24] 千万不要漏
[55:25] 你不能只是npm install
[55:27] 安装了这个库
[55:28] 结果忙活半天
[55:29] 却没有改这个CDN的import
[55:31] 如果没有改的话
[55:33] 用的还是CDN的那一份
[55:35] 装到了本地等于白装
[55:37] 好改完之后
[55:39] 我们就再去
[55:41] 这个
[55:42] 这个NPM run build一次
[55:44] npm run build一次
[55:49] 好注意
[55:50] 注意
[55:50] 我们这个build的时候
[55:51] 我们把这个dist打开
[55:53] 我们观察一下
[55:54] 我们Build之后这个文件名会不会变
[55:55] 这个文件名会不会变
[55:59] 因为我们有一个很重要的JS的变化
[56:02] 那我们Build一下看一看
[56:03] 看一看
[56:05] 看到没
[56:05] 名字已经发生了变化
[56:07] 这就说明什么
[56:09] 就是说明animejs现在已经打进去了
[56:12] 现在我们用的
[56:12] 现在我们用的已经不是cdn的anime了
[56:13] 已经不是CDN的那个anime了
[56:16] 而是我们node_modules里面的这个anime
[56:16] 而是我们node-modules里面的anime
[56:19] 我们现在可以再验证一下
[56:23] mpm run preview 4173
[56:23] npm run preview 4173
[56:34] 就是它
[56:36] 那我们再去刷新一下
[56:38] 看现在它的请求
[56:39] 是不是就会变干净了
[56:43] 刷新
[56:44] 看到没
[56:45] 一个HTML，一个JS，一个CSS
[56:46] 一个js
[56:47] 一个css
[56:49] 好，那这就是我们这节课的内容
[56:53] 好，那还有一个事情
[56:55] 就是我们完成了这些内容
[56:58] 接下来
[56:59] 我们要把我们现在做的这些工作
[57:03] 然后提交到Git
[57:05] 那这里
[57:07] 我们就在写
[57:08] inrude bit和npm page
[57:08] inrubit和npm page
[57:14] 点击这个
[57:19] 我们可以把这个代码提交到原程仓库了
[57:20] 提交到原程仓库了
[57:28] 那我们接下来盘一下我们这节课和上一节课
[57:30] 盘一下我们这节课和上一节课
[57:32] 上一节4.1
[57:35] 我们就是用模块化
[57:37] 然后治好了顺序坑
[57:39] 全局污染
[57:40] 让我们的代码
[57:40] 让我们的代码变得更现代
[57:41] 变得更现代
[57:43] 那这一节4.2
[57:45] 我们就请来了Vite
[57:46] 把这个开发预览不方便
[57:49] 请求太多
[57:50] 加载太慢
[57:51] 以及这个浏览器缓存
[57:53] 这三个问题就全解决了
[57:55] 最后还顺手把anime收进了本地
[57:59] 甩掉了这个CDN
[58:00] 工程化这套地基
[58:02] 到这儿就铺平了
[58:04] 有了这个地基
[58:06] 接下来的事情
[58:06] 接下来的事情就有意思了
[58:07] 就有意思了
[58:08] 下一节我们讲一讲react
[58:10] 顺便
[58:10] 顺便也和大家聊一下view
[58:11] 也和大家聊一下view
[58:13] 咱们下一节见
